운동명,운동방법,개요
런지,"1. 두 다리를 골반넓이 정도로 벌리고 선다

- 허리를 바르게 펴고 시선은 정면을 바라본다

2. 한 발을 평소 보폭보다 크게 내딛는다.

-시선은 정면 허리는 바르게 펴고 발은 사선이 아닌 정면으로 내딛습니다.

3. 내딛은 다리에 체중을 실어 무릎을 90도까지 굽혀 내려간다.

- 스쿼트 동작에서 무릎이 발끝을 넘어가지 말라는 얘기를 많이들 들어보셨을 텐데 런지 시에 체중을 발 앞꿈치에 실으시면 무게중심이 앞으로 쏠려 무릎 관절에 손상을 줄 수 있습니다. 반대쪽 무릎이 바닥에 닫기 직전까지 내려갑니다.

4. 제자리로 돌아온다

- 내딛은 다리로 밀어내며 처음의 1번 자세로 돌아옵니다. 이때 허벅지 안쪽 내전근이 자극됩니다.

5. 반대쪽도 동일하게 시행한다.","런지를 하는 동안 엉덩이근육, 배근육, 넙다리네갈래근, 허벅지뒤근육 등이 작용한다. 또한 종아리 근육은 발목의 안정성과 움직입을 제공하기 위해 사용된다."
레그 프레스,"* 머리, 등, 엉덩이가 등받침패드에 단단히 밀착 고정되어야 합니다. 

      등받침이 허리를 지지해주기 때문에 허리통증으로 인해 스쿼트(squat)를 시행할 수 없는 환자도 하체단련을 할 수 있습니다

* 의자 양 옆의 손잡이를 잡아야 합니다.

* 허벅지(대퇴)와 종아리(하지)는 직각이 되어야 하며

* 허벅지(대퇴)와 발판은 평행이 되도록 의자의 위치를 조정 합니다.

* 발은 엉덩이(어깨) 너비로 벌려 발판의 중간에 위치시키고 바깥으로 약간 벌립니다.

* 엉덩이와 무릎관절을 천천히 펴면서 발판을 앞으로 밉니다. 

* 이 때 양측 허벅지와 종아리는 평행한 상태를 유지해야하며 안쪽이나 바깥쪽으로 움직이면 안됩니다.

* 무릎이 완전히 펴질때까지 밀어야 하나 lock (허벅지 앞쪽 근육에 힘을 주지 않고도 무게를 버티는 상태)시키면 안됩니다. 



되돌아올 때 (전방운동시 forward movement)

* 엉덩이와 무릎관절을 천천히 굽히면서 시작자세로 되돌아 옵니다.

* 머리, 어깨 , 등, 엉덩이를 패드에 밀착하여 균등하게 압력을 가하도록 유지하여야 합니다.
","레그프레스 운동을 통해 트레이닝 되는 근육은 

일차적으로는 대퇴앞쪽의 대퇴사두근 이며 (갈색 부분)

이차적으로는 엉덩이근육(대둔근, 녹색부분), 대퇴뒷편의 근육(햄스트링, 파란색부분). 대퇴내전근 입니다."
바벨 로우,"1. 팔을 귀옆으로 붙힌다.

2. 렛풀다운 하듯 일직선상으로 그대로 내려온다. ( 어깨와 견갑골을 내려주면서 광배근 자극시키기!! )

3. 그상태에서 바벨로우 자세로 팔을 내려준다.

4. 상체는 약 35도정도 숙여준다.(이때도 하체를 약간 구부려주세요!! 그래야 허리에 무리가 덜갑니다. )

5. 그 상태에서 바벨을 허벅지에 붙혀준다.

6. 상체를 세워주면서 바벨을 당겨준다.( 이때 바벨이 허벅지를 타고 올라와야합니다. )

7. 다시 상체를 내려주면서 원위치 시킵니다.","벤트오버 바벨로우는 그립의 종류, 그립을 잡는 너비에 따라 자극 부위가 달라집니다.

 

① 오버그립(손바닥이 바닥을 향하게 하여 일반적으로 잡는 그립)으로 어깨너비보다 넓게 잡게 되면 등 상부(승모근, 능형근)의 자극이 됩니다.

② 오버그립으로 어깨너비로 바벨을 잡으면 등 하부(광배근 위주)의 자극이 됩니다.

③ 언더그립(손바닥이 하늘을 향하게 하여 일반적으로 잡는 그립)으로 어깨너비로 바벨을 잡으면 등 하부(광배근) + 이두근의 자극이 조금 더 들어갑니다.

 

연구에 의하면 언더그립+어깨너비로 그립을 잡으면 오버그립+어깨너비보다 광배근에 자극을 조금 더 줄 수 있고, 이두근에도 자극 줄 수 있습니다."
원암 덤벨 로우,"?

1. 플랫 벤치에 오른 발을 굽히고
    오른 손은 무릎 앞 12-14인치 정도 벤치 위에 놓습니다.
  

2. 다른 손을 아래로 뻗어 벤치 옆 바닥에 놓인 덤벨을 잡습니다.
  

3. 덤벨을 살짝 바닥에서 들어 올리고 잠깐 멈추면서 측면 등 근육이 완
    전히 스트레치 되도록 합니다.
  

4. 팔꿈치를 옆구리에 바짝 붙인 상태에서 덤벨이 갈비뼈 옆쪽에 닿을때까지
    위로 끌어 당깁니다.
   

5. 이 자세를 유지해 수축의 정점을 잡고 천천히 웨이트를 제자리로 내립니다.
    이때 덤벨이 바닥에 닿지 않도록 합니다.
     

6. 원하는 반복횟수 만큼 반복한 뒤 다시 자세를 바꿉니다.","원암덤벨로우 자극부위

 

광배근, 능형근, 승모근"
투암 덤벨 로우,"1. 본인에게 맞는 덤벨 무게를 선택 후
양 다리넓이는 어깨넓이 간격으로 서주세요

2. 무릎을 살짝 구부리고 엉덩이로 뒤로 빼며
상체의 중심은 살짝 앞으로 허리가 구부러지지 않도록 긴장해줍니다

3. 덤벨에서 팔꿈치라인이 수직선이 되게끔 호흡을 뱉으며 당겨주세요

(견갑골을 접는다는 느낌을 받으며)

4. 스트레칭하듯 천천히 내려오며 반복동작 실시합니다","투암 덤벨로우 :: 등운동 자극 부위
광배근, 능형근, 승모근 상부"
시티드 로우,"1. 기구에 앉아서 앞 케이블을 잡아줍니다.

2. 다리는 약간 굽어진 상태를 유지해줍니다.

3. 케이블을 약간 땡겨서 가슴을 앞으로 열어주며 등을 고정시켜줍니다.

4. 숨을 뱉으며 어깨가 아닌 등 하부 즉 광배근을 먼저 움직이며 당겨준다.

TIP : 등을 약간 뒤로 젖혀준다. 하지만 너무 뒤로 넘어가지는 않도록 유의한다.

5. 숨을 마시며 다시 원 자세로 돌아간다.

6. 위 운동을 반복해준다. (10~15회 3세트)","시티드로우는 앉아서 실시하는 로우 운동으로 등근육의 광배근 부위, 등의 상단부터 중앙까지 넓은 부위를 주로 발달지키며, 등의 윗 상단에 있는 승모근과 능형근도 자극을 받게 됩니다. 시티드 로우는 등을 두껍게 만드는 효과가 있으며, 등근육을 선명하고 탄탄하게 발달시킬 수 있는 운동입니다."
인버티드 로우,"1. 자신이 수행할 각도를 설정하여 bar나 링, TRX 등을 세팅한다. 당연히 당신의 몸이 지면과 수직에 가까울수록 쉬울테고 지면과 평행에 가까울 수록 난이도가 올라갈 것이다. 각을 마음대로 하기 어려운 상황에서 강도를 낮추고 싶다면 무릎을 굽히면 된다. 체중을 등만이 아닌 다리로도 분산시켜 강도를 낮추는 방법이다. 

2. bar를 잡고 있는 당신의 몸은 아래와 같은 상태를 유지해야만 한다.

 - 척추는 중립을 유지. 따라서 코어도 중립을 유지. 플랭크를 할 때의 코어를 떠올리면 된다. 지겹게 말했을 것이다. 골반을 후방경사 시켜 엉덩이를 조이라고. 좀 더 민망한 표현을 쓰자면 사타구니를 자신의 배꼽쪽으로 말아올린다고 생각하면 된다. 물론 과도하게 오버하면 아니된다.

 - 그립은 오버핸드로 잡는다. 편한대로 썸리스 그립을 택해도 상관 없지만 어짜피 본인의 체중을 당길 정도의 강도에 머물기 때문에 악력의 피로 걱정을 크게 할 필요는 없다. 굳이 언더핸드로 잡으려면 너무 넓게 잡아 부자연스러운 동작이 나오지 않게끔 한다. 너비는 보통 자신의 어깨 너비나 그 이상으로 잡는다.

 - 어깨에 힘이 들어가거나 슈러깅 된 상태로 있어서는 안된다. 어깨는 내리고 숄더패킹 비슷한 형태를 만드는데 굳이 어깨를 뒤로 모을 필요까지는 없다. 어깨를 뒤로 모으는게 아니라 아래로 내리는 게 중요하다.

- 발의 위치가 애매할 것이다. 처음에는 적절한 발의 위치를 찾기가 어색하겠지만 끝까지 당겼을 때 가슴에 bar가 닿는 위치에 발을 놓는다. bar와 수평을 이루며 누워있는 형태가 아니라면 분명 시작 자세에서는 bar가 가슴보다 한참 아래에 있는 형태가 될 것이다.

 - 발의 모양은 편한대로 하면 되는데, 구부렸을 때에는 발바닥이 땅에 닿게 하고 스트레이트로 폈을 때에는 발 뒤꿈치가 땅에 닿게 유지시킨다. 

3. 이제 당기면 된다. 바벨 로우와 마찬가지로 변하는 상체각에 따라 당기는 방향을 유지시키면 된다. 그렇기 때문에 서서 당기나 누워서 당기나 인버티드 로우는 강도만 달라질 뿐이지 자극해야할 타겟이 바뀌지는 않는다. bar가 당신의 가슴을 터치하게끔 힘껏 당겨라. 바가 닿지 않는다고 가슴을 과도하게 내밀어 터치하려고 애쓰지 말라. 그러다 괜히 코어만 풀어질 수 있다. 가슴에 간발의 차이로 터치가 안된다고 손목을 꺾어가며 가동범위를 줄여 터치하려고도 하지 마라. 그건 등을 수축해서 터치시킨게 아니기에 별 쓰잘데기 없는 치팅 동작일 뿐이다. 

4. 당긴 그대로 다시 내려가면 되는데 이렇게 반복 수행할 때 발의 위치가 움직이거나 바뀌어서는 안된다. 발의 위치가 바뀌면 다음 번 당길때의 타겟은 바뀌게 된다. 따라서 리바운딩 같은 튕기는 동작은 하지 말라. 

 그리고 분명 등 운동을 했는데 온몸이 힘들다고 고민할 필요 없다. 등을 조준하기 위해 당신의 다른 모든 근육들이 긴장하고 집중해야 하는 운동이 바로 인버티드 로우이다.
 
다리의 위치가 어떻든 중요한 건 코어의 타이트 함 유지와 발의 위치 고정이다. 발의 위치가 계속 바뀌다보면 당기는 방향과 위치 또한 달라진다.
","인버티드 로우는 여타의 등근육 운동과 마찬가지로 각도와 방향의 조절로 등근육 전체를 자극할 수 있습니다.

특히 광배근, 대원근, 소원근, 능형근, 극하근, 승모근과 후면삼각근까지

등을 넓은 역삼각형 모양으로 만드는데 필요한 거의 모든 근육을 자극할 수 있는 등근육 운동입니다."
바벨 컬,"1 팔을 어깨너비로 벌린 채 내려주고 바를 언더그립으로 잡습니다. 5~10도 정도 굽은 상태가 시작 자세입니다. 만약 팔이 다 펴지면 진행 도중 긴장이 풀리게 되어 팔에 손상을 입을 수 있습니다. 팔은 살짝 옆구리와 떨어질 수 있게 위치하고 고정시켜 움직이지 않게 합니다. 숨을 들이마셔 복부, 하반신에 긴장감을 줍니다

?

2 이 상태에서 큰 반원을 그리며 들어 올려줍니다. 이때 주의할 점은 몸을 튕긴다거나 반동을 이용해 뒤에서 앞으로 올리지 않도록 합시다. 완전하게 접어 턱밑까지 올려주고 잠시 멈춥니다. 수축하고 나서 호흡을 내뱉고 다시 들이마셔줍니다

?

3 저항을 서서히 느끼면서 다시 펴줍니다. 이때 완전히 다 피는 게 아니라 텐션이 풀리지 않을 정도로 이완하며 처음으로 돌아갑니다. 이렇게 하면 1회 완료한 게 된 것입니다

?",스탠딩 바벨컬(Standing Barbell Curl)은 흔히 알통이라고 불리는 팔 전면부의 대표적인 근육인 상완이두근을 단련하기 위해 실시하는 대표적인 운동이다. 바벨컬은 상완이두근 뿐만 아니라 상완근과 상완요골근이라는 팔의 전면부 근육 발달에 효과적인 운동으로 상완이두근의 크기와 모양을 형성하기 위해 실시하는 가장 기본적이고 중요한 운동이다. 
바이시클 메뉴버,"① 우선 매트(없으면 이불이나 침대)에 누운 자세에서 양손을 머리 뒤에 둔다. 위 영상처럼 귀 옆에 둬도 무관하다.
② 양다리를 살짝 들어 올리고 자전거 페달을 밟듯이 무릎을 번갈아 가면서 천천히 가슴 쪽으로 굽혔다가 편다. 이때 아래에 있는 다리는 바닥에 닿지 않을 정도로 살짝 띄운다.
③ 2번 자세에 익숙해졌다면 상체를 들어 올리고 오른쪽 무릎을 당기면서 왼쪽 팔꿈치가 오른쪽 무릎에 닿을 정도로 허리를 살짝 튼다. 이때 왼쪽 다리는 들어 올린 상태에서 편다.
④ 서서히 오른쪽 다리를 펴면서 왼쪽 무릎을 당기고, 오른쪽 팔꿈치가 왼쪽 무릎에 닿을 정도로 상체를 들어 허리를 살짝 튼다.
⑤ 3~4번 동작을 천천히 반복한다. 10개씩 3세트를 하되, 체력과 단련 정도에 따라 세트 수를 조절한다.",바이시클 크런치 운동은 상복부 및 하복부를 포함한 복부 전체와 대퇴사두근 및 햄스트링을 포함한 허벅지 전체 근육 생성에 도움을 주는데요. 상체와 하체 근육을 동시에 강화시킬 수 있는 효과 좋은 운동입니다.
벤치 프레스,"▶ 벤치에 누워 바를 잡습니다.



▶ 허리를 띄운다는 느낌보단 명치를 올린다는 느낌으로 가슴을 들어줍니다.



▶ 바를 젖꼭지 기준 살짝 위에 내려줍니다.



▶ 바를 올릴땐 들어서 올린다는 느낌보단 밀어준다는 느낌으로 올려줍니다.



▶ 운동 시 시선은 바에 고정하고 수축 이완 시 바가 흔들리지 않도록 합니다.","벤치 프레스는 대흉근(갑빠라 불리는 가슴근육)을 발달시켜 주고 삼각근과 상완삼두근에 자극을 주면서, 균형 있는 상체를 만들어 줍니다. 어깨 주변 근육들과 승모근도 어깨 관절을 안정시키기 위해 동작하므로 부수적으로 단련할 수 있습니다.

"
인클라인 벤치프레스,"* 의자높이를 조절하여 허벅지가 바닥과 거의 평행하게 하고 

   머리는 걸려있는 바벨의 바보다 낮아야 합니다.

? 

* 신체5부위 접촉자세 (five-point body-contact position) :  

   머리, 어깨-등은 벤치에 견고히 고정시키고 

   엉덩이는 의자에 균등하게 위치시키고 

   우측발 및 좌측발은 바닥에 평평하게 닿아야 합니다.

? 

* 어깨 너비(shoulder-width) 정도로 벌려서 우측그림의 a 처럼 

손바닥이 바닥을 향하고 손가락의 너클이 위로 향하는

회내그립(pronated grip, 또는 overhand grip이라고도 합니다)

엄지손가락을 바를 둘러싸는 닫힌그립(closed grip)으로 바를 잡습니다. 

? 

   cf) 이 때 너무 넓게 벌리면 어깨의 주된동작은 내전(대흉근)이며 굴곡(전방삼각근)은 최소화됩니다.  

따라서 가슴근육(대흉근)을 발달시키기에 유리하나 너무 벌리면 어깨관절의 압박이 심해집니다.  

반대로 너무 좁게 잡으면 가슴근육보다는 전방삼각근(굴곡)을 더욱 강조하게 되며  

삼두근(팔꿈치폄근)의 움직임 범위가 늘어나고 따라서 이 근육의 관여가 늘어납니다.  

일반적으로는 벤치프레스 동작에 관여하는 근육의 고른 발달을 위해 어깨 너비 정도로 벌려서 잡습니다.? 



 
바를 내릴 때 자세 (downward movement)

* 바를 천천히 내리면서 운동을 시작합니다. 

      이과정도 원심성(eccentric) 근육수축 과정이므로 힘없이 툭 내리면 안됩니다.

* 팔꿈치를 몸에서 약간 멀어지게 하면서 몸통을 통과해 아래로 내립니다.

* 손목은 우측 2번의 그림처럼 꺽이거나 엄지를 open grip으로 하면 안되고 

   1번 처럼 닫힌그림(closed grip)으로 견고하게 유지하면서 

* 아래팔(팔꿈치-손목부위)은 바닥과 수직이어야 하고 

      양측 아래팔은 평행상태를 유지해야합니다.

  참고)  어깨너비 정도로 벌려서 바를 잡았지만 

   실제 그립의 너비(width)는 양측 전완이 평행할 수 있도록 잡은 너비입니다.

* 바는 쇄골과 젖꼭지 사이 가슴의 윗쪽 1/3 지점에 가볍게 닿을 때까지 내립니다. 

   바를 가슴에 튀겨 올리거나(bounce) 바가 가슴에 닿기 위해 허리를 아치모양으로 만들어 가슴을 들어올리면 안됩니다.

* 신체 5부위(머리, 몸통, 힙, 양측발) 접촉자세를 유지해야 합니다





바를 올릴 때 자세 (upward movement)

* 바를 위쪽 방향으로 그리고 아주 약간 뒷쪽방향으로 밉니다. 

    팔꿈치를 펴는 것보다는 양측 팔을 가슴쪽으로 모은다는 느낌(내전 adduction)으로 해주시는게 좋습니다.

* 허리를 아치모양으로 만들거나, 힙을 들어올리거나 발을 딛고 일어서려는 것처럼 다리를 밀거나 해서는 안됩니다.

   몸통과 발은 시작자세의 위치에서 움직여서는 안됩니다.

* 내릴 때처럼 손목은 견고히 유지하고 아래팔은 바닥에 수직, 양측 아래팔이 평행상태를 유지해야합니다.

* 팔꿈치가 완전히 펴질 때까지 밀어야 하지만 팔꿈치 관절을 lock 시키면 안됩니다 (이렇게 되면 근육은 힘을 덜쓰고 관절이 부하를 받게되 상해위험이 높고 트레이닝 효과도 감소합니다)

* 세트를 완료하고 바를 받침대에 안전히 올려놓을 때까지 그립을 유지해야 합니다.



호흡은 근육이 짧아지면서 힘을 쓰는(concentric) 구간의 sticking point(가장 힘든 부분)을 지나면서 내쉬고 

벤치프레스에서는 바를 올리는 중간 정도 지점 쯤 됩니다. 그리고 바를 시작자세로 다시 내려올 때 들이쉬어야 합니다.",대표적인 가슴 근육이라고 할 수 있는 대흉근의 윗부분인 쇄골지(Clavicular part : 쇄골 안쪽 1/2 지점부터 상완골 윗부분에 측면 위치)를 효과적으로 자극하기 위해 그 필요성이 강조되고 있다. 
스컬 크러셔,"크기를 키우는데 유리한 운동이기 때문에 가장 많은 중량을 사용할 수 있는 바벨을 주로 사용한다. 물론 덤벨이나 케이블을 사용해도 효과적으로 삼두근을 키워준다. 다만 일반적인 웨이트리프팅 바는 관절이 안 좋은 사람이 하면 무리를 줄 수도 있기 때문에 이지 바(EZ Bar)를 잡는 것도 좋다.

먼저 벤치에 누운 뒤 바벨을 들어 양팔을 위로 뻗은 상태가 준비 자세이다. 그 다음 천천히 바벨을 봉의 중간점이 이마에 닿을락 말락한 높이까지 내려오게 한 뒤 다시 처음의 자세로 바벨을 들어올린다. 중요한 포인트는 봉이 이마에 닿을 듯한 것보다 어떻게 닿을 듯하게 위치하느냐이다. 팔꿈치를 벌리지 않고 모은 상태에서 팔꿈치를 고정하고 삼두[2]를 고립시켜 천천히 이마에 닿을 듯한 위치까지 내리는 것이다. 물론 사람마다 체형이 다르기 때문에 어떤 사람은 이마에 닿을 수도 어떤 사람은 머리를 넘어 갈 수도, 얼굴 한복판이 될 수도 있다. 중요한 것은 팔꿈치를 모아 확실히 고립시키고 중간에 팔꿈치를 휘둘러 고립이 풀리지 않게 유지하여 자극을 받으며 천천히 내리는 것이다.

주의할 점은 지나치게 무거운 중량을 사용하면 내려온 상태에서 바벨을 들어올리지 못하게 되거나 내려오다가 얼굴로 기구를 떨어뜨릴 수도 있다는 것이다. 왜 이 운동이 스컬 크러셔라고 불리는지를 생각해보자. 벤치 프레스와 마찬가지로 고중량에 도전하겠다면 해골의 안전을 위해 주변 사람이나 친구에게 도움을 구하자. 고립 운동치고 많은 무게를 칠 수 있는 운동이긴 하나 어쨌든 고립 운동이고 심각한 부상을 유발할 수 있는 자세이니만큼 다관절 운동하듯 무리한 고중량보다는 최소 8회나 12~15회 정도를 수행할 수 있는 무게로 시작하는 것이 좋다.",삼두근의 세 머리인 외측두-장두-내측두를 고루 발달시키므로 삼두근의 전체적인 매스 증대에 대단히 효과적입니다.
라잉 트라이셉 익스텐션,"1. 바닥에 누워서 허리는 아치를 만들어주시고, 이지바를 잡을 때에는 어깨 넓이보다 조금 안쪽으로 잡아줍니다.

?


2. 손목은 꺽어주시면 삼두에 긴장감이 더 커질꺼에요.

?


3. 준비가 다 끝났으면 저항을 느끼면서 천천히 이마위로 전완근이 수평이 되도록 이완시켜주세요. 팔꿈치가 바깥쪽으로 펴지지 않게 움직이지않게 고정해야 합니다.


4. 그대로 수직으로 이마위로 올려주세요. 자세를 잡는 동안 옆쪽을 봐주시면서 내가 수직으로 잘 올리고 있나 확인 해봅니다.



5. 손목과 팔꿈치가 수직방향이 되면 삼두가 아닌 관절로 버티는 꼴이 되기 때문에 이점 꼭 생각하시고 이지바가 이마나 정수리쪽으로 올린다 라고 생각을 해주세요.

?","라잉 트라이셉스 익스텐션 자극부위

-> 상완삼두근 (장두, 외측두, 내측두 골고루 자극)"
스쿼트,"1. 차렷 자세에서 양발을 어깨너비로 벌린다. 

2. 양손은 깍지를 끼거나 앞으로 나란이를 한다. 

3. 양발 끝은 바깥쪽으로 15도~20도 정도 벌려준다. 

4.상체를 그대로 꼿꼿이 유지하면서 천천히 엉덩이를 뒤로 뺀다 

5. 그와 동시에 천천히 무릎을 굽히면서 의자에 앉듯이 앉는다. 

6. 옆에서 봤을 때 허벅지가 바닥과 평행이 될 정도까지 앉는다. 

7. 엉덩이를 뒤로 빼면서 앉는데 무릎이 발끝을 넘어가는 건 괜찮다. 

8. 그리고 다시 준비 자세로 돌아온다. 

9. 호흡은 편하게 숨을 쉬어도 괜찮고 내려갈 때 마시고 올라올 때 뱉어도 좋다. ","스쿼트(Squat)는 부동근인 대퇴(허벅지), 둔근(엉덩이)도 같이 자극이 전해지지만, 주 목적은 대퇴(허벅지)에 전달될수 있게끔 자극을 해줘야 되며, 언뜻보면 흔히 말하는 기마 자세 비슷하다고 보면된다. "
업라이트 로우,"두 손으로 사용할 기구를 잡는다. 스트레이트 바, 이지 바, 덤벨, 심지어는 케이블도 무방하다. 기구를 잡을 때는 20~25cm 사이의 간격으로 잡는 것이 좋으며, 시작 전에는 반동이 일어나지 않게 주의한다.





몸통을 고정한 후 천천히 기구를 들어올린다. 앞서 말한 것처럼 숨을 들이쉬면서 기구를 올리는 호흡법을 사용하면 적합하다. 위치는 턱 바로 아래에서 멈추는 것이 효과적이다.





숨을 내쉬면서 천천히 기구를 내려놓고, 처음 자세로 돌아오면 자세를 지키며 반복한다. 업라이트 로우를 할 때는 무엇보다 적정 중량을 지키는 것이 중요하므로 너무 무겁지 않은 기구로 설정하는 것이 좋다.","업라이트 로우(Upright Row)는 승모근과 삼각근을 주로 사용하는 운동이다. 바벨이나 덤벨, 케이블, 스미스 머신을 사용할 수 있으며 동작에 변형을 줘서 주로 자극되는 근육 부위를 다르게 할 수 있다."
