운동명,운동방법,개요
플랭크,"1. 자연스럽게 엎드린다.

2. 팔꿈치 간격은 어깨너비 정도로 벌린다.

3. 양손은 자연스럽게 바닥에 붙이거나, 주먹을쥐고 모으거나등등 편하게 자세를 잡는다.

4. 복부에 힘을 주고 배를 자연스럽게 지면에서 띄운다.

5. 버틴다.

6. 머리는 축 늘어뜨리지 않도록 한다.

7. 팔의 각도는 지면과 90도 각도가 되도록 한다.","플랭크 자세는 견갑골과 쇄골, 어깨, 가슴, 복부 전체, 둔근과 전반적인 하퇴근육을 단련시켜준다. 고로 몸의 근력과 협응력, 파워, 유연성을 고루 발달시켜준다. 무엇보다 가장 큰 이점으론 전신근육의 압축이다. "
굿모닝,"1. 양발을 어깨넓이로 서서, 어깨엔 바벨을 올려놓는다.

2. 무릎을 약간 굽히고 시선은 정면을 보며

인사하듯이 천천히 90도로 허리를 굽힌다.

3. 척추기립근에 저항을 느끼며 천천히 원래자세로 돌아온다.

 '굿모닝' 주의사항 및 노하우 팁>

1. 시선은 전방을 향하고 허리를 아치형으로 유지하며 운동한다.

2. 무릎을 펴고하면 허벅지 뒷쪽에 더욱 자극을 줄 수 있으나,

척추기립근(허리)발달을 원한다면 무릎을 살짝굽히고 운동한다.

3. 굿모닝은 중량을 높이지 않고 천천히 자극을 느끼며 운동에 임한다.

4. 아래 사진과 같이 바벨없이 양손을 머리뒤에 대고 운동할 수 있다.","허리와 힙, 허벅지 뒤쪽 까지 뒤쪽 근육 전체를 자극하는 좋은 운동이에요."
내로우 푸쉬업,"<운동순서>

 

① 양쪽 엄지손가락과 집게손가락이 서로 붙도록 손을 붙이고 팔굽혀펴기 자세를 취한다.

 

② 숨을 들이마시면서 가슴이 양쪽 손등에 닿을 정도로 팔을 굽힌다. 이때 팔꿈치는 옆구리에 가깝게 위치시킨다. 팔을 굽힌내린 상태에서  1~2초간 멈춘 후,  숨을 내쉬면서 원래 상태로 팔을 펴서 힘껏 밀어 올린다.

 

 


<주의 및 참고사항>

 

-팔을 굽힐때에는 팔꿈치를 옆구리에 가깝게 위치시킨다.
- 상체와 엉덩이, 다리는 일직선이 되어야 한다. (동작중에 상체가 쳐져서는 안된다. )
- 반복 횟수를 20회 이상 할 수 있을 경우에는 높은 곳에 발을 올려놓고 하거나 배낭에 원판을 넣어서 그것을 매고 운동하면 보다 강한 자극을 줄 수 있다.

",주 운동 부위는 삼각근과 대흉근의 개입이 가장 큽니다?
내로우 그립 풀업,"내로우 그립 풀업 운동방법
1. 어깨너비보다 좁게, 그리고 손바닥이 서로 마주보도록 바를 잡는다.
2. 가슴을 펴고 어깨를 살짝 뒤로 내준 상태에서 가슴이 바에 닿는다는 느낌으로 당긴다.","등은 크게 광배근, 대원근,
능형근, 등"
덤벨 벤트오버 레터럴 레이즈,". 덤벨을 잡고 벤트오버 (Bentover) 자세를 취합니다

여기서 벤트오버(Bentover)  자세란..?

 상체를 숙인 동작을 말하는 것으로 초보자 분들은 저처럼 등을 너무 구부리는 것보단

 엉덩이를 살짝 빼고 허리를 편 상태에서 운동하는 것을 추천합니다.

2. 손바닥이 마주보도록 덤벨을 잡고 운동을 시작할 준비를 합니다.

3. 덤벨을 힘차게 들어 올리고 내릴 때 저항을 느끼며 천천히 내려 옵니다.



여기서 주의할 점은 .. ?

- 덤벨을 올릴 시에 잡아 당겨준다는 느낌으로 올리나 팔꿈치와 견갑골이 과하게 움직일 경우

등근육의 참여가 높아지므로 주의한다.

(견갑골을 많이 움직일 경우 로우의 형태와 비슷한 운동이 되어 버린다.)

- 레터럴 레이즈(Lateral Raise) 동작은 올릴 때 보다도 내릴때 얼마나 저항을 느끼냐에 따라 운동효과가 달라진다.

  프레스 류 운동과는 다르게 중량을 많이 들지 않는 운동 이므로 저항을 많이 느끼며 이완 시켜주고, 

 절대 고 중량을 사용하지 않는게 좋습니다.(저는 15~20rep 할수 있는 무게를 선택하는 편입니다.)",벤트 오버 레터럴 레이즈는 어깨 근육인 삼각근 후면 부위를 발달 시켜주는 운동
덤벨 숄더 프레스,"
*일단 덤벨을 잡을때는 덤벨이 손에서 떨어지지 않게 있는 힘껏 움켜쥐고 손목이 스트레스 받지 않도록 손목을 꺽이지 않게 잡아주는게 좋다. 그렇게 덤벰을 움켜쥐 뒤 바로 지면으로 부터 팔 힘을 이용해 다이렉트로 들어주기 보단 발 무릎에 덤벨을 가지런히 올려둔 뒤 안정적으로 발을 튕겨주며 반동을 이용해 들어주는 것이 부상 방지를 위해 효율적이라 할수있다. 









*초보자 혹은 자세가 많이 흔들린다 하시는 분들은 등받이 벤치를 이용해 하는것도 나쁘지 않다. 다만 덤벨 프레스를 통한 전후 또는 좌우 방향이 힘이 추가적인 요소가 되어 삼각근의 균형적인 발달을 극대화 시킬수 있기 때문에 가급적 고중량을 제외 하곤 벤치를 이용하는게 균형감각에 도움이 될수 있다.



*처음 시작점 자세인 덤벨을 어깨 위치에 놓았을때 가급적 팔꿈치 각도는 90˚를 유지하는게 기본적인 자세이며, 그 밖에 살짝 벗어나 안쪽에 위치해 좁게 잡아도 크게 상관은 없으니 참고하자. 다만 너무 몸통 바깥쪽으로 벗어날 경우 어깨에 부상을 유발할수 있으니 어깨 안쪽 기준으로 75˚~90˚를 유지하는게 기본적이라 할수있다.



*다음으로 올리는 동작에 있어서 가장 많이 실수 하는 부분이 덤벨을 올릴 때이다. 대부분이 아마 올리는 동작에 있어서 덤벨과 덤벨사이를 부딪혀 단순한 관절운동으로만 알고있다. 물론 어깨 근육이 주관하는 관절은 어깨 관절이지만 그 밖에 움직이는 동작에 있어서 팔꿈치 관절 또한 뒷받침 되기 때문에 대부분 상완삼두근을 이용해 운동을 한다고 봐도 무방할만큼 실수하는 부분이니 참고하자



*앞서 설명한대로 덤벨은 가동범위가 제한적이지 않기 때문에 덤벨을 올리는 동작에 있어서 삼각근이 딱 걸리는 위치까지가 필자가 보기에는 가장 적당한 수축 지점이라 생각된다. 그 이상 최대로 들어올린다 해서 삼각근 전체가 자극받는게 아니기 때문에 덤벨을 붙인다는 개념이 아닌 어깨를 들어올린다는 개념으로 이해를 해야 될것이다.



*이완 동작 역시 중요한 부분이다. 사람마다 관절의 유연성이 조금씩 다르지만 가장 기본적인 내리는 위치는 얼굴에 있는 귀 위치까지 내려주는게 적당한 위치라고 보지만, 필자가 보기에는 팔을 내릴때 90˚를 유지하며 내리기 보단 어깨 안쪽에 내려준다는 느낌으로 이완 시켜준다면 어깨에 대한 자극이 좀더 전달될 뿐 아니라 어깨가 걸리는 최대 이완지점 까지 느낌을 전달 받을수 있다.",숄더프레스는 어깨 근육(삼각근)의 전면과 측면 부위의 근매스를 올리기 좋은 대표적인 운동입니다.
덤벨 슈러그,"먼저 앞서 슈러그 - 덤벨은 승모근 상부를 강화시키기 위한 운동이며 높은 중량으로 실시해주시면 효과가 좋습니다.

난이도는 쉬운 편으로 누구나 따라할 수 있는 운동이다.

어깨너비로 서서 양손에 덤벨을 들고 허벅지 옆에 위치시킵니다.

고개를 약간 숙이고 어깨를 귀에 붙인다는 느낌으로 최대한 어깨 끌어올립니다.

천천히 저항을 느끼면서 어깨를 내리고 처음 자세로 돌아갑니다.",중부 승모근과 상부 승모근에 큰 자극
덤벨 오버헤드 익스텐션,"덤벨 오버헤드 익스텐션을 할 때에는 보통 서서(스탠딩) 하기 보다 앉은(시티드) 상태에서 하는 것을 권장합니다. 그 이유는 상체가 오픈된 상태에서 상완삼두근을 수축시켜려면 느껴지겠지만 덤벨이 올라오면서 중량의 중심점이 바뀌어 몸통이 대게 뒤로 움직이게 됩니다. 그래서 보통 등받이를 받치고 안정된 상태에서 해서 회전근개의 부상을 방지하도록 하는 것이 좋습니다. 보통 대게 숄더 벤치가 없으므로 일반 인클라인이 되는 벤치에서 실시할 수는 있는데 내리다가 덤벨이 등받이 벤치에 걸릴 수 있으니 그냥 평벤치에서 하는 게 코어도 단련될 겸 낫습니다.




시작자세. 숄더벤치를 이용하면 안정적으로 등을 붙이고 코어를 유지한 채 동작할 수가 있습니다. 어쩔 수 없이 스탠딩 자세로 실시할 경우 다리를 다 펴고 요추부에 중량에 대한 부담을 주는 것이 아니라 무릎을 살짝 구부리고 고관절을 살짝 뒤로 빼서 중량의 분배가 앞뒤로 잘 되도록 한 상태에서 공기압을 이용하여 코어를 닫아준 상태에서 척추중립을 유지하도록 합니다. 실제로 오버헤드 포지션을 할 때 흉곽이 과도하게 열리면서 가슴을 앞으로 내놓고 흉추와 요추에 부담을 주는 경우를 자주 볼 수 있습니다. 중량이 올라가면 안그러다가도 자연스럽게 나타나는 현상인데, 되도록 이를 통제하고 동작할 수 있게 끔 해야 흉곽이 들리는 현상, 요추가 전만(허리의 과도한 아치)되는 현상으로 인한 통증 발생 등을 제어할 수 있습니다.





덤벨을 쥘 때에는 엄지와 검지를 이용해서 양손을 삼각형을 만들고 그 사이에 덤벨을 끼워 넣도록 합니다. 이때 주의할 점은 덤벨이 손바닥의 가장 두꺼운 위치(벤치프레스 할때 바벨 올려놓은 그곳)에 가깝게 놓여야 한다는 것입니다. 손가락 끝 쪽으로 갈 수록 중량에 손목 부담이 커지고 실제 수축시에 상완삼두근으로 수축하기 보다 다른 부위로 힘이 빠지기 때문에 가장 주의 해야 할 부분입니다. 대부분의 상체 운동은 손으로 중량을 잡고 실시하기 때문에 손으로 얼마나 잘 잡고 있느냐가 운동에 대한 집중도의 관건이라고 할 수 있습니다. 잘 움켜쥐지 않는 다거나 살짝 걸치는 테크닉은 상급자 또는 선수들의 테크닉이므로 초보자들은 되도록 있는 힘껏 덤벨을 움켜쥐거나 확실하게 안정적으로 고정시킨 상태에서 동작하도록 합니다.




중량을 들 때 흉곽을 오픈하는 것이 흉추와 요추에 주는 부담이 크므로 복압을 이용해야 합니다. 코어가 약한 사람은 벨트를 사용하여 복부에 힘을 확실하게 주고 안정적인 자세를 만든 상태에서 오버헤드 자세를 취합니다




전체적인 동작은 중량을 상완삼두근에 실은 상태에서 상완은 고정시키고 팔꿈치를 머리 뒤로 접어 상완삼두근의 긴장을 극대화 시킨 후 팔꿈치 관절에 너무 부담이 가지 않는 정도로 충분히 상완삼두근의 최대 길이를 가질 위치까지 내린 후에 수축시켜 줍니다. 이때 팔꿈치의 간격을 보자면 자연스럽게 벌어지도록 해도 되고 장두에 힘을 이용해서 팔꿈치를 모으려 해도 됩니다. 장두를 적극적으로 개입시키고 싶다면 팔꿈치를 모아주도록 실시 하지만 사람에 따라 팔꿈치에 대한 스트레스 강도가 다르므로 자연스럽게 팔꿈치를 둔 상태에서 동작해도 됩니다(다만 너무 과도하게 벌어져서 팔꿈치가 얼굴과 수평선상에 있지는 않게 합니다). 수축시에도 상완삼두근을 사용해서 수축시키고 중량을 관절에 넘기지 않도록 해야 합니다.





삼두근 또한 근육이 운동을 하는 것이지 뼈가 운동을 하는 것은 아닙니다. 중량을 근육에 실어서 이동시켜야지 뼈에다 넘겨서 부담을 주지 않도록 해야 하며 집중력이 흩어지지 않게 해야 합니다. 팔을 펼때 라잉 트라이셉스 익스텐션처럼 팔을 펴서 덤벨을 수직으로 들어 올린다는 느낌보다 상완삼두근을 수축시켜 팔을 펴지듯이 밀어낸다는 느낌으로 동작함에 유의합니다. 오버헤드 덤벨 익스텐션은 라잉 트라이셉스 익스텐션에 비해 상대적인 부담이 더 큰 운동이라고 볼 수 있습니다. 라잉 트라이셉스 익스텐션은 누워서 흉곽이 중력에 순응한 채로 동작하기 때문에 흉곽에 그렇게 신경 쓸 필요가 없고 팔꿈치 동작만 주의하면 되지만, 이 동작은 상체가 서있는 상태에서 하기 때문에 척추중립에 더욱 더 신경 쓴 상태에서 동작해야 합니다. 중량을 다룰 수 있는 운동이지만 가동범위를 많이 쓰거나 잘못된 각도로 운동하면 관절에 상당부분 부담을 줄 수 있고 다른 운동에 비해 처음 리프팅과 마무리가 어렵기 때문에 보조나 파트너를 두고 운동할 것을 추천합니다.",삼두 전체에 효과적인 자극을 줄 수 있습니다.
덤벨 킥백,"
① 덤벨 잡는법에 대해서는 논란의 여지가 많다고 보면 된다. 그 예로 첫번째 덤벨을 꽉 쥐어주면 삼두근에 들어가는 힘보다 전완근에 가해지는 힘이 더해져 오히려 마이너스가 된다. 두번째 덤벨을 걸친다는 느낌으로 해주는게 오히려 상완삼두근 집중도를 높여준다.



이렇듯 오고 가는 말들이 각각 틀리지만 필자가 느꼈을때 초보자의 경우 덤벨이 흔들리거나 떨어질수 있는 조건을 방지하게 위해 가급적 꽉 움켜쥐는걸 추천하고, 어느정도 근육을 컨트롤 할수 있는 능력이 된다면 살짝 걸친다는 느낌으로 잡아주는게 상완삼두근을 집중시킬수 있다.



② 덤벨을 쥔 상태에서 제일 중요한 포인트 ""팔꿈치 고정""을 시킨 후 덤벨을 서서히 수축시켜 준다. 이때 수축지점 보다 더 쥐어짜고 싶다고 덤벨을 세워 손목을 꺽거나, 팔꿈치를 이용해 각도를 더 올린다면 당연 관절에 부상 위험이 있으니 본인이 상완삼두근에 자극이 잘 전달받은 위치를 기억해 최대수축 지점까지 수축시켜준다.



③ 최대 수축지점까지 자극을 느낀 후 다시 시작점인 원래 위치로 천천히 이완시켜 준다. 이완동작 역시 역 방향으로 상완삼두근에 들어간 힘을 그대로 느끼면서 이완시켜 주는게 포인트 라 할수있다.

",덤벨 킥백(Dumbbell kickback)이라는 운동에 대해서 이야기 해볼까요? 기본적으로 삼두근(뒤쪽팔)의 고립운동으로써 외측두(LATERAL HEAD)가 주요 타겟부위입니다.
덤벨 프론트 레이즈," 

운동방법

①양손에 덤벨을 하나씩 쥐고 서거나 앉습니다.

②한쪽 덤벨을 큰 호를 그리면서 90~180도 사이에

자신에게 자극이 잘오는 각도까지 들어 올립니다.

③덤벨을 통제하에 내립니다. 한쪽 덤벨을 다 내리지 말고

90%정도만 내리고 긴장을 유지합니다.

④전면삼각근을 직접적으로 운동시키기 위해, 양쪽 덤벨이 옆쪽으로

벗어나지 않고 반드시 얼굴 앞쪽으로 지나도록 합니다.",덤벨 프론트 레이즈는 덤벨을 정면으로 들어올리는 운동이므로 이 운동은 특히 전면 삼각근 발달에 탁월하다고 할 수 있겠다.
체스트 덤벨 프레스,"실행방법

①덤벨을 양손에 들고 평평한 벤치에 앉습니다.

덤벨을 무릎위에 올려놓은 다음

가슴에 안는다는 느낌으로 눕습니다.

바로 덤벨을 바벨 벤치프레스 하듯 자세를 잡아줍니다.

② 벤치에 누워, 양발은 바닥에 붙입니다.

발이↖ ↗ 이 자세가 되도록 합니다. 

③어깨보다 넓게 덤벨을 벌려 잡습니다.

이때 자세는 └ㅇ┘이렇게 팔과 팔꿈치가 직각이 되게 해줍니다.

팔꿈치가 직각보다 아래로 팔이 내려가게 되면

삼두와 어깨에 개입이 많이 지게 되므로

자신에게 자극이 잘오는 자세나 편안한 자세를 찾으시기 바랍니다.  

(컴맹에 그림도 못그리니 자세 설명이 쉽지 않네요.^^;)

④숨을 내쉬면서 덤벨을 들어올리는데

↑  ↑이렇게 수직으로 울리는것과

↗  ↖이렇게 모아주면서 울리는것이 있습니다.

모아주게 되면 덤벨 플라이처럼 가슴을 모아주는 운동도

함께 할수 있게 됩니다.^^;
⑤숨을 들이쉬며 천천히 가슴 위치까지 덤벨을 내려줍니다.

이때 └ㅇ┘이렇게 내려주시면 되는것이죠.^^

⑥운동이 끝나면 덤벨을 가슴에 안고 일어나시면 됩니다.

물론 바로 덤벨을 바닥에 내려놓기도 하는데 중량이 올라갈수록

내려놓을때 어깨와 팔에 부담을 줘 부상 위험이 있으니

조심하시길 바랍니다.",체스트프레스는 대흉근을 주로 사용하는 운동으로 상완삼두근과 삼각근이 보조근 역할을 한다. 
데드버그,"등을 대고 평평하게 눕기. 앉아서 배 근육에 힘을 주고 배가 살짝 들어갈 수 있도록 하자. 일부 피트니스 전문가들은 이 방법이 오히려 역효과를 가져오기 때문에 배에 긴장감만 주는 방법을 권장하기도 한다. 두 가지를 모두 다 시도해보고 어떤 방법이 나에게 더 잘 맞는지 살펴보자. 이제 천천히 등을 바닥으로 내려준다. 등을 완전히 쫙 펴지 않고, 편하고 자연스럽게 누워야만, 운동 효과가 더 증진된다.[2]
배에 긴장감을 주되, 등에 살짝 곡선이 그려진 자연스러운 포즈로 눕는다. 손가락 몇 개가 등 사이로 들어갈 수 있는 정도여야 한다.

팔을 쫙 펴기. 천장 방향으로 양팔을 쫙 펴준다. 팔은 일자로 곧게 펴주고, 손목과 손이 어깨선상 위에 있어야 한다. 이렇게 해야 운동을 제대로 할 수 있고, 부상의 위험도 줄어든다.[3]

발, 무릎, 골반 높여주기. 무릎이 골반과 허벅지 위로 오도록 다리를 구부려준다. 발을 바닥에서 떼면서 코어와 복근에 긴장감이 느껴지도록 해보자. 구부린 다리를 90도로 만들어주면 복근과 코어 근육의 운동 효과가 높아진다. 허벅지와 무릎이 일자 라인이 되도록 무릎이 골반 바로 위쪽에 위치해야 한다.[4]

동시에 반대쪽 다리와 팔 내리기. 먼저 내릴 팔을 선택한다. 복근에 긴장감이 느껴지도록 하고, 동시에 반대쪽 팔과 다리를 바닥에 최대한 가깝게 내려준다. 그리고 처음 시작했던 위치로 다시 돌아온다. 운동하려고 하는 근육이 움직이는 것을 느낄 수 있도록 천천히 움직인다. 천천히 운동하면 바닥에 팔과 다리가 닿지 않게 하는 데에도 도움이 된다.[5]

반대쪽 팔과 다리 반복하기. 첫 번째 팔과 반대쪽 다리를 마쳤다면, 두 번째 팔과 그의 반대쪽 다리 운동을 해보자. 이렇게 하면 양쪽 복근과 코어 근육이 균일하게 발달된다.[6]

3세트 완료하기. 10번 반복으로 3-5세트 운동을 해보자. 처음에는 피로감이 느껴지고 복근이 너무 당겨지는 듯한 느낌이 들어서 1세트만 가능할 수도 있으나, 점차적으로 세트 횟수를 늘려가보자.[7]",데드버그 운동에서 주로 쓰이는 근육은 복부 근육인데요.
디클라인 덤벨 프레스,"스텝 1 : 벤치의 경사를 35~45도로 맞춘다.

스텝 2 : 벤치에 등을 대고 눕는다. 벤치가 머리부터 엉덩이까지 몸통 전체를 받쳐야 하며, 무릎을 굽히고 발은

           고정한다.

스텝 3 : 운동 중에 미끄러지는 것을 방지하기 위해 양발을 패드 밑에 단단히 고정한다.

스텝 4 : 트레이닝 파트너에게 덤벨 2개를 건네 받거나, 상체를 일으킨 상태에서 무릎 위에 덤벨을 올리고 뒤로

           천천히 눕는다. 덤벨을 잡은 팔을 천장을 향해 뻗는다. 손바닥은 전방을 향해야 한다.",하부흉근을 발달시키기 위하여.
디클라인 벤치 프레스,"
① 디클라인 벤치각도는 평균 30~45˚정도가 가장 이상적인 각도라고 생각한다. 본인에 맞게 각도를 조절해가며 원하는 자극점을 찾는것도 나쁘지 않는 방법이다. 



발거치대를 이용해 발을 걸어 무게중심을 지탱해주며 벤치에 눕는다. 허리를 과도한 아치가 아닌 지면으로부터 10cm정도 살짝 띄어 아치를 유지해준다.



② 벤치 프레스와 같은 원리로 바를 어깨 넓이보다 좀더 넓게 오버그립으로 잡아준다. 



③ 바벨을 들고 바벨을 천천히 가슴 하부를 향해서 내려준다. 이때 팔꿈치 각도가 어깨선을 넘어가지 않게 주의하고, 프레스 동작에서 제일 중요한 ""수직운동""이 되도록 반복동작시 바벨이 흔들리지 않게 무게를 잡아주어야 제대로 된 수축-이완 동작이 수행될수 있다.



※ 프레스 동작에서 수축동작시 팔힘을 이용해 밀어준다는 느낌이 아닌 겨드랑이 안쪽을 들어준다는 느낌으로 밀어줘야만 대흉근 자극에 있어 효과적으로 운동을 할수가 있다.

",하부흉근을 발달시키기 위하여.
라잉 레그레이즈,"
 


시작 자세

1. 벤치에 등을 대고 눕는다.

2. 손의 위치는 밴치의 위에를 잡아도 되고 골반 옆부분의 벤치를 잡아도 된다.

3. 다리를 위로 쭉펴서 90도 되게 올린다. (무릎은 완전히 쭉 펴지 않아도 된다.)

4. 이때 허리를 벤치에 꼭 붙힌다.

 

끝자세

1. 무릎을 약 80도 정도 편 상태에서 지면으로 다리를 내린다.

2. 옆에서 보았을때 몸이 쭉 수평이 될 정도 까지 내린다.

3. 내릴때 허리가 들리지 않도록 허리를 벤치에 꼭 붙힌다. 

4. 지면과 수평이 될정도로 다리를 내린후 힘을 강하게 주어 다시 원래자리로 다리를 들어 올린다.",복직근의 관여보다 그 안에 있는 복횡근(횡경막수축)의 참여도 비중이 훨씬 높기 때문이죠.
라잉 힙 어브덕션,"옆으로 누워 한 팔은 상체를 지지해줍니다.

나머지 팔은 손바닥을 바닥에 지지시켜 몸의 중심을 잡아줍니다.

다리는 곧게 편 상태로 아래로 뻗어주시고 전체적으로

몸이 일직선이 되도록 만들어줍니다.



 

그 상태에서 밑에 다리는 바닥에 지지시켜주시고

위쪽 다리는 천천히 들어올려줍니다.

이 때, 다리가 90도를 넘지않도록 하시고

몸 전신에 힘을 주어 흔들리지않도록합니다!",중둔근 중에서도 측면과 후면에 더욱 크나큰 자극 을 줄 수 있습니다. 
